2022-09-26 19:56:41,919 INFO: => creating model 
2022-09-26 19:56:47,770 INFO: cls num list:
2022-09-26 19:56:47,770 INFO: [5000, 2997, 1796, 1077, 645, 387, 232, 139, 83, 50]
2022-09-26 19:57:05,048 INFO: Test: [30/100]	Time 0.007 (0.020)	Loss 1.7814 (1.8233)	Prec@1 37.000 (34.452)	Prec@5 85.000 (86.581)
2022-09-26 19:57:05,116 INFO: Test: [40/100]	Time 0.007 (0.017)	Loss 1.7920 (1.8354)	Prec@1 42.000 (34.341)	Prec@5 87.000 (86.024)
2022-09-26 19:57:05,183 INFO: Test: [50/100]	Time 0.006 (0.015)	Loss 1.9054 (1.8396)	Prec@1 28.000 (34.098)	Prec@5 88.000 (85.863)
2022-09-26 19:57:05,249 INFO: Test: [60/100]	Time 0.006 (0.014)	Loss 1.7857 (1.8369)	Prec@1 37.000 (34.541)	Prec@5 86.000 (85.918)
2022-09-26 19:57:05,314 INFO: Test: [70/100]	Time 0.006 (0.013)	Loss 1.8377 (1.8352)	Prec@1 34.000 (34.493)	Prec@5 84.000 (85.901)
2022-09-26 19:57:05,380 INFO: Test: [80/100]	Time 0.006 (0.012)	Loss 1.6938 (1.8346)	Prec@1 38.000 (34.346)	Prec@5 90.000 (85.988)
2022-09-26 19:57:05,444 INFO: Test: [90/100]	Time 0.006 (0.011)	Loss 1.8377 (1.8352)	Prec@1 37.000 (34.473)	Prec@5 83.000 (85.901)
2022-09-26 19:57:05,601 INFO: val Results: Prec@1 34.620 Prec@5 85.820 Loss 1.83231
2022-09-26 19:57:05,602 INFO: val Class Accuracy: [0.480,0.618,0.029,0.035,0.020,0.671,0.455,0.274,0.326,0.554]
2022-09-26 19:57:05,602 INFO: Best Prec@1: 34.620

2022-09-26 19:57:06,086 INFO: Epoch: [1][0/391], lr: 0.00400	Time 0.481 (0.481)	Data 0.436 (0.436)	Loss 2.0811 (2.0811)	Prec@1 3.906 (3.906)	
2022-09-26 19:57:06,491 INFO: Epoch: [1][10/391], lr: 0.00400	Time 0.042 (0.080)	Data 0.000 (0.040)	Loss 2.1666 (2.1711)	Prec@1 7.031 (4.261)	
2022-09-26 19:57:06,886 INFO: Epoch: [1][20/391], lr: 0.00400	Time 0.039 (0.061)	Data 0.000 (0.021)	Loss 2.0509 (2.1498)	Prec@1 7.031 (4.539)	
2022-09-26 19:57:07,289 INFO: Epoch: [1][30/391], lr: 0.00400	Time 0.037 (0.054)	Data 0.000 (0.015)	Loss 2.1802 (2.1485)	Prec@1 3.906 (4.158)	
2022-09-26 19:57:07,695 INFO: Epoch: [1][40/391], lr: 0.00400	Time 0.040 (0.051)	Data 0.000 (0.012)	Loss 2.0424 (2.1424)	Prec@1 7.031 (4.021)	
2022-09-26 19:57:08,099 INFO: Epoch: [1][50/391], lr: 0.00400	Time 0.041 (0.049)	Data 0.000 (0.009)	Loss 2.0984 (2.1378)	Prec@1 1.562 (3.768)	
2022-09-26 19:57:08,513 INFO: Epoch: [1][60/391], lr: 0.00400	Time 0.039 (0.048)	Data 0.000 (0.008)	Loss 2.1379 (2.1351)	Prec@1 3.906 (3.804)	
2022-09-26 19:57:08,913 INFO: Epoch: [1][70/391], lr: 0.00400	Time 0.040 (0.047)	Data 0.000 (0.007)	Loss 2.1428 (2.1361)	Prec@1 3.906 (3.840)	
2022-09-26 19:57:09,307 INFO: Epoch: [1][80/391], lr: 0.00400	Time 0.040 (0.046)	Data 0.000 (0.006)	Loss 2.1953 (2.1364)	Prec@1 3.906 (3.868)	
2022-09-26 19:57:09,697 INFO: Epoch: [1][90/391], lr: 0.00400	Time 0.044 (0.045)	Data 0.000 (0.006)	Loss 2.1153 (2.1355)	Prec@1 8.594 (3.889)	
2022-09-26 19:57:10,087 INFO: Epoch: [1][100/391], lr: 0.00400	Time 0.032 (0.044)	Data 0.000 (0.005)	Loss 2.1395 (2.1339)	Prec@1 3.906 (3.875)	
2022-09-26 19:57:10,482 INFO: Epoch: [1][110/391], lr: 0.00400	Time 0.041 (0.044)	Data 0.000 (0.005)	Loss 2.1023 (2.1326)	Prec@1 3.906 (3.864)	
2022-09-26 19:57:10,877 INFO: Epoch: [1][120/391], lr: 0.00400	Time 0.039 (0.044)	Data 0.000 (0.005)	Loss 2.0830 (2.1270)	Prec@1 1.562 (3.913)	
2022-09-26 19:57:11,278 INFO: Epoch: [1][130/391], lr: 0.00400	Time 0.041 (0.043)	Data 0.000 (0.004)	Loss 2.1078 (2.1270)	Prec@1 1.562 (3.906)	
2022-09-26 19:57:11,682 INFO: Epoch: [1][140/391], lr: 0.00400	Time 0.042 (0.043)	Data 0.000 (0.004)	Loss 2.1230 (2.1257)	Prec@1 5.469 (3.895)	
2022-09-26 19:57:12,093 INFO: Epoch: [1][150/391], lr: 0.00400	Time 0.040 (0.043)	Data 0.000 (0.004)	Loss 2.0522 (2.1249)	Prec@1 7.031 (3.953)	
2022-09-26 19:57:12,516 INFO: Epoch: [1][160/391], lr: 0.00400	Time 0.040 (0.043)	Data 0.000 (0.004)	Loss 2.0868 (2.1244)	Prec@1 6.250 (3.984)	
2022-09-26 19:57:12,925 INFO: Epoch: [1][170/391], lr: 0.00400	Time 0.042 (0.043)	Data 0.000 (0.004)	Loss 2.1424 (2.1232)	Prec@1 0.781 (4.007)	
2022-09-26 19:57:13,343 INFO: Epoch: [1][180/391], lr: 0.00400	Time 0.040 (0.043)	Data 0.000 (0.003)	Loss 2.1135 (2.1230)	Prec@1 0.781 (4.001)	
2022-09-26 19:57:13,761 INFO: Epoch: [1][190/391], lr: 0.00400	Time 0.047 (0.043)	Data 0.000 (0.003)	Loss 2.2072 (2.1231)	Prec@1 3.906 (3.964)	
2022-09-26 19:57:14,174 INFO: Epoch: [1][200/391], lr: 0.00400	Time 0.043 (0.043)	Data 0.000 (0.003)	Loss 2.2207 (2.1218)	Prec@1 3.906 (3.996)	
2022-09-26 19:57:14,589 INFO: Epoch: [1][210/391], lr: 0.00400	Time 0.042 (0.043)	Data 0.000 (0.003)	Loss 2.0842 (2.1198)	Prec@1 3.906 (4.054)	
2022-09-26 19:57:15,003 INFO: Epoch: [1][220/391], lr: 0.00400	Time 0.044 (0.043)	Data 0.000 (0.003)	Loss 2.0694 (2.1188)	Prec@1 6.250 (4.083)	
2022-09-26 19:57:15,418 INFO: Epoch: [1][230/391], lr: 0.00400	Time 0.040 (0.042)	Data 0.000 (0.003)	Loss 2.1584 (2.1183)	Prec@1 1.562 (4.102)	
2022-09-26 19:57:15,834 INFO: Epoch: [1][240/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.003)	Loss 2.1065 (2.1173)	Prec@1 5.469 (4.120)	
2022-09-26 19:57:16,249 INFO: Epoch: [1][250/391], lr: 0.00400	Time 0.040 (0.042)	Data 0.000 (0.003)	Loss 2.0627 (2.1153)	Prec@1 2.344 (4.130)	
2022-09-26 19:57:16,664 INFO: Epoch: [1][260/391], lr: 0.00400	Time 0.043 (0.042)	Data 0.000 (0.003)	Loss 2.0508 (2.1140)	Prec@1 6.250 (4.179)	
2022-09-26 19:57:17,081 INFO: Epoch: [1][270/391], lr: 0.00400	Time 0.042 (0.042)	Data 0.000 (0.003)	Loss 2.0772 (2.1130)	Prec@1 6.250 (4.215)	
2022-09-26 19:57:17,496 INFO: Epoch: [1][280/391], lr: 0.00400	Time 0.042 (0.042)	Data 0.000 (0.003)	Loss 2.1244 (2.1120)	Prec@1 1.562 (4.232)	
2022-09-26 19:57:17,912 INFO: Epoch: [1][290/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.002)	Loss 2.1320 (2.1112)	Prec@1 2.344 (4.247)	
2022-09-26 19:57:18,329 INFO: Epoch: [1][300/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.002)	Loss 2.0701 (2.1094)	Prec@1 0.781 (4.246)	
2022-09-26 19:57:18,743 INFO: Epoch: [1][310/391], lr: 0.00400	Time 0.042 (0.042)	Data 0.000 (0.002)	Loss 2.0383 (2.1084)	Prec@1 3.125 (4.270)	
2022-09-26 19:57:19,157 INFO: Epoch: [1][320/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.002)	Loss 2.1334 (2.1069)	Prec@1 3.906 (4.301)	
2022-09-26 19:57:19,569 INFO: Epoch: [1][330/391], lr: 0.00400	Time 0.040 (0.042)	Data 0.000 (0.002)	Loss 2.0966 (2.1069)	Prec@1 5.469 (4.296)	
2022-09-26 19:57:19,990 INFO: Epoch: [1][340/391], lr: 0.00400	Time 0.040 (0.042)	Data 0.000 (0.002)	Loss 2.0356 (2.1054)	Prec@1 6.250 (4.316)	
2022-09-26 19:57:20,403 INFO: Epoch: [1][350/391], lr: 0.00400	Time 0.042 (0.042)	Data 0.000 (0.002)	Loss 2.0407 (2.1041)	Prec@1 3.906 (4.349)	
2022-09-26 19:57:20,814 INFO: Epoch: [1][360/391], lr: 0.00400	Time 0.040 (0.042)	Data 0.000 (0.002)	Loss 2.0956 (2.1032)	Prec@1 6.250 (4.367)	
2022-09-26 19:57:21,225 INFO: Epoch: [1][370/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.002)	Loss 2.0476 (2.1021)	Prec@1 7.031 (4.391)	
2022-09-26 19:57:21,629 INFO: Epoch: [1][380/391], lr: 0.00400	Time 0.041 (0.042)	Data 0.000 (0.002)	Loss 2.0907 (2.1017)	Prec@1 6.250 (4.396)	
2022-09-26 19:57:22,021 INFO: Epoch: [1][390/391], lr: 0.00400	Time 0.034 (0.042)	Data 0.000 (0.002)	Loss 2.0730 (2.1010)	Prec@1 2.500 (4.400)	
2022-09-26 19:57:22,603 INFO: Test: [0/100]	Time 0.496 (0.496)	Loss 1.7855 (1.7855)	Prec@1 31.000 (31.000)	Prec@5 88.000 (88.000)
2022-09-26 19:57:22,692 INFO: Test: [10/100]	Time 0.006 (0.053)	Loss 1.6725 (1.6832)	Prec@1 38.000 (43.273)	Prec@5 90.000 (90.000)
2022-09-26 19:57:22,761 INFO: Test: [20/100]	Time 0.006 (0.031)	Loss 1.6261 (1.6773)	Prec@1 50.000 (43.714)	Prec@5 90.000 (90.238)
2022-09-26 19:57:22,829 INFO: Test: [30/100]	Time 0.007 (0.023)	Loss 1.4580 (1.6740)	Prec@1 54.000 (44.258)	Prec@5 96.000 (90.290)
2022-09-26 19:57:22,899 INFO: Test: [40/100]	Time 0.006 (0.019)	Loss 1.7286 (1.6820)	Prec@1 46.000 (44.146)	Prec@5 86.000 (89.805)
2022-09-26 19:57:22,968 INFO: Test: [50/100]	Time 0.007 (0.017)	Loss 1.6835 (1.6839)	Prec@1 39.000 (43.980)	Prec@5 84.000 (89.667)
2022-09-26 19:57:23,033 INFO: Test: [60/100]	Time 0.006 (0.015)	Loss 1.6932 (1.6851)	Prec@1 43.000 (43.656)	Prec@5 86.000 (89.639)
2022-09-26 19:57:23,097 INFO: Test: [70/100]	Time 0.006 (0.014)	Loss 1.5980 (1.6824)	Prec@1 49.000 (43.873)	Prec@5 97.000 (89.718)
2022-09-26 19:57:23,161 INFO: Test: [80/100]	Time 0.006 (0.013)	Loss 1.6278 (1.6780)	Prec@1 51.000 (44.049)	Prec@5 89.000 (89.901)
2022-09-26 19:57:23,224 INFO: Test: [90/100]	Time 0.006 (0.012)	Loss 1.7134 (1.6796)	Prec@1 40.000 (44.022)	Prec@5 88.000 (89.923)
2022-09-26 19:57:23,358 INFO: val Results: Prec@1 44.080 Prec@5 89.890 Loss 1.67805
2022-09-26 19:57:23,358 INFO: val Class Accuracy: [0.561,0.472,0.280,0.002,0.256,0.654,0.555,0.570,0.443,0.615]
2022-09-26 19:57:23,359 INFO: Best Prec@1: 44.080

2022-09-26 19:57:23,835 INFO: Epoch: [2][0/391], lr: 0.00600	Time 0.473 (0.473)	Data 0.428 (0.428)	Loss 2.0034 (2.0034)	Prec@1 3.906 (3.906)	
2022-09-26 19:57:24,250 INFO: Epoch: [2][10/391], lr: 0.00600	Time 0.044 (0.080)	Data 0.000 (0.039)	Loss 2.0829 (2.0780)	Prec@1 2.344 (5.611)	
2022-09-26 19:57:24,663 INFO: Epoch: [2][20/391], lr: 0.00600	Time 0.042 (0.062)	Data 0.000 (0.021)	Loss 2.0318 (2.0867)	Prec@1 7.031 (5.171)	
2022-09-26 19:57:25,075 INFO: Epoch: [2][30/391], lr: 0.00600	Time 0.037 (0.055)	Data 0.000 (0.015)	Loss 2.0322 (2.0801)	Prec@1 4.688 (4.990)	
2022-09-26 19:57:25,486 INFO: Epoch: [2][40/391], lr: 0.00600	Time 0.036 (0.052)	Data 0.000 (0.011)	Loss 2.0426 (2.0767)	Prec@1 4.688 (4.973)	
2022-09-26 19:57:25,895 INFO: Epoch: [2][50/391], lr: 0.00600	Time 0.042 (0.050)	Data 0.000 (0.009)	Loss 1.9964 (2.0730)	Prec@1 10.156 (5.055)	
2022-09-26 19:57:26,308 INFO: Epoch: [2][60/391], lr: 0.00600	Time 0.042 (0.048)	Data 0.000 (0.008)	Loss 2.0604 (2.0758)	Prec@1 5.469 (4.905)	
2022-09-26 19:57:26,727 INFO: Epoch: [2][70/391], lr: 0.00600	Time 0.040 (0.047)	Data 0.000 (0.007)	Loss 2.1270 (2.0802)	Prec@1 3.906 (5.051)	
2022-09-26 19:57:27,137 INFO: Epoch: [2][80/391], lr: 0.00600	Time 0.035 (0.047)	Data 0.000 (0.006)	Loss 1.9357 (2.0751)	Prec@1 7.031 (5.083)	
2022-09-26 19:57:27,543 INFO: Epoch: [2][90/391], lr: 0.00600	Time 0.041 (0.046)	Data 0.000 (0.006)	Loss 2.1084 (2.0750)	Prec@1 3.125 (5.005)	
2022-09-26 19:57:27,952 INFO: Epoch: [2][100/391], lr: 0.00600	Time 0.039 (0.045)	Data 0.000 (0.005)	Loss 2.0598 (2.0759)	Prec@1 4.688 (4.989)	
2022-09-26 19:57:28,368 INFO: Epoch: [2][110/391], lr: 0.00600	Time 0.040 (0.045)	Data 0.000 (0.005)	Loss 2.0925 (2.0738)	Prec@1 3.125 (5.032)	
2022-09-26 19:57:28,779 INFO: Epoch: [2][120/391], lr: 0.00600	Time 0.035 (0.045)	Data 0.000 (0.005)	Loss 2.0503 (2.0712)	Prec@1 7.031 (5.101)	
2022-09-26 19:57:29,187 INFO: Epoch: [2][130/391], lr: 0.00600	Time 0.041 (0.044)	Data 0.000 (0.004)	Loss 2.1088 (2.0718)	Prec@1 3.906 (5.081)	
2022-09-26 19:57:29,601 INFO: Epoch: [2][140/391], lr: 0.00600	Time 0.041 (0.044)	Data 0.000 (0.004)	Loss 2.0520 (2.0706)	Prec@1 3.125 (5.064)	
2022-09-26 19:57:30,016 INFO: Epoch: [2][150/391], lr: 0.00600	Time 0.043 (0.044)	Data 0.000 (0.004)	Loss 2.0021 (2.0698)	Prec@1 5.469 (5.034)	
2022-09-26 19:57:30,429 INFO: Epoch: [2][160/391], lr: 0.00600	Time 0.036 (0.044)	Data 0.000 (0.004)	Loss 2.0567 (2.0681)	Prec@1 6.250 (5.071)	
